2025-03-18 05:28:46,716: Key.alt_l
2025-03-18 05:28:46,865: Key.tab
2025-03-18 05:28:48,949: Key.tab
2025-03-18 05:29:04,267: Key.alt_l
2025-03-18 05:29:04,778: Key.alt_l
2025-03-18 05:29:04,812: Key.alt_l
2025-03-18 05:29:04,845: Key.alt_l
2025-03-18 05:29:04,878: Key.alt_l
2025-03-18 05:29:04,895: Key.tab
2025-03-18 05:29:05,977: Key.tab
2025-03-18 05:29:06,244: Key.tab
2025-03-18 05:29:07,678: Key.alt_l
2025-03-18 05:29:07,792: Key.tab
2025-03-18 05:29:35,017: Key.alt_l
2025-03-18 05:29:35,117: Key.tab
2025-03-18 05:30:08,873: Key.cmd
2025-03-18 05:30:09,653: 'n'
2025-03-18 05:30:29,168: Key.cmd
2025-03-18 05:30:31,451: 'n'
2025-03-18 05:30:34,199: Key.enter
2025-03-18 05:30:36,183: 'a'
2025-03-18 05:30:36,663: 'y'
2025-03-18 05:30:36,913: 'u'
2025-03-18 05:30:38,231: 's'
2025-03-18 05:30:38,742: 'h'
2025-03-18 05:30:39,113: 'm'
2025-03-18 05:30:39,758: 'a'
2025-03-18 05:30:40,401: 'n'
2025-03-18 05:30:41,923: Key.ctrl_l
2025-03-18 05:30:42,439: Key.ctrl_l
2025-03-18 05:30:42,483: Key.ctrl_l
2025-03-18 05:30:42,516: Key.ctrl_l
2025-03-18 05:30:42,539: Key.ctrl_l
2025-03-18 05:30:42,572: Key.ctrl_l
2025-03-18 05:30:42,606: Key.ctrl_l
2025-03-18 05:30:42,639: Key.ctrl_l
2025-03-18 05:30:42,672: Key.ctrl_l
2025-03-18 05:30:42,706: Key.ctrl_l
2025-03-18 05:30:42,739: Key.ctrl_l
2025-03-18 05:30:42,781: Key.ctrl_l
2025-03-18 05:30:42,805: Key.ctrl_l
2025-03-18 05:30:42,805: '\x13'
